title,author,genre,total_likes,status,scrape_date
The Double Agent,Hayeon / Charles,Historical,1000000,ongoing,2022-12-27
Ultra-Alternate Character,JIXKSEE,Action,694583,ongoing,2022-12-27
"Take Me, I'm Yours",RoseBean / One Punch Rabbit,Drama,798344,ongoing,2022-12-27
Gates of Hell,Dennis Culver / Yuki Saeki,Thriller,88589,ongoing,2022-12-27
God Tribe,Agu_JUNU / SEOPASS,Fantasy,231641,ongoing,2022-12-27
Cloud Walker,kariyeen,Action,638822,ongoing,2022-12-27
Infinity,two5,Sports,331680,ongoing,2022-12-27
Threads of Love,HAN KIJOO / 1,Romance,832463,ongoing,2022-12-27
The Last Golden Child,Alkkae / Saemong,Action,510675,ongoing,2022-12-27
My Guardian Demon,Han SeRam / Su Ja,Romance,39600,ongoing,2022-12-27
Ghost King,SON GOHOO / PARK JINSEOK,Action,249599,ongoing,2022-12-27
The Most Ordinary Girl,Chogori,Romance,315353,ongoing,2022-12-27
Prince Maker,Suosu,Fantasy,550287,ongoing,2022-12-27
A Man's Man,Dogado / Lucas,Drama,592502,ongoing,2022-12-27
King of the East,Lee Dani / Shin Jiwoo,Action,162887,ongoing,2022-12-27
Miez,Hiseki,Sci-fi,131950,ongoing,2022-12-27
Roach,NOWONE / RIGHT HAND,Horror,139830,ongoing,2022-12-27
Do You Remember,Mallowboo,Mystery,73925,ongoing,2022-12-27
Gecko Chan,Meritxell Garcia,Comedy,509236,ongoing,2022-12-27
Simon Sues,Myung Hee,Supernatural,577347,hiatus,2022-12-27
Not an Angel,Castella / Pyoryu,Comedy,142513,ongoing,2022-12-27
Discovering Love: A Harlequin Romance Collection,Various Artists,Romance,151185,ongoing,2022-12-27
City of Blank,66,Sci-fi,4900000,hiatus,2022-12-27
Lily Crown,Diggymungo,Action,282037,hiatus,2022-12-27
Eaternal Nocturnal,instantmiso,Romance,5200000,hiatus,2022-12-27
Console Her,AICandii,Romance,207095,hiatus,2022-12-27
Jungle Juice,Hyeong Eun / JUDER,Action,6100000,hiatus,2022-12-27
Maid for Hire,demonicblackcat / Erry Juhana,Romance,1900000,hiatus,2022-12-27
The Princess's Jewels,JYUN / Hong Cha,Fantasy,1900000,hiatus,2022-12-27
Parallel City,Goda,Mystery,2900000,hiatus,2022-12-27
Kind of Confidential,Vivian Darlin,Romance,4500000,hiatus,2022-12-27
The Red King,Heylenne,Supernatural,2700000,hiatus,2022-12-27
Lalin's Curse,Isakytm,Supernatural,3200000,hiatus,2022-12-27
Maybe Meant to Be,honeyskein / damcho,Romance,4000000,ongoing,2022-12-27
Operation: True Love,kkokkalee / Dledumb,Romance,2800000,ongoing,2022-12-27
The Guy Upstairs,Hanza Art,Thriller,1200000,ongoing,2022-12-27
Vampire Husband,Scragony,Slice of life,505514,ongoing,2022-12-27
I Love Yoo,Quimchee,Drama,34500000,ongoing,2022-12-27
The World After the Fall ,singNsong / S-Cynan,Action,1600000,ongoing,2022-12-27
1HP Club,elfboi,Fantasy,4200000,ongoing,2022-12-27
Be My Villain,mintibi,Romance,2400000,ongoing,2022-12-27
My Giant Nerd Boyfriend,fishball,Slice of life,62700000,hiatus,2022-12-27
Extraordinary Attorney Woo,Yuil / HwaUmJo,Drama,81348,ongoing,2022-12-27
Nevermore,Kate Flynn / Kit Trace,Supernatural,1600000,ongoing,2022-12-27
Reborn Rich,SK / JP,Drama,80443,ongoing,2022-12-27
Bitten Contract,sungeun,Romance,1900000,ongoing,2022-12-27
Immortal Weakling,Yaruno / Civen,Superhero,347793,hiatus,2022-12-27
The Gamer,Sangyoung Seong / Sang-A,Action,20100000,ongoing,2022-12-27
Saving a Mercenary Unit from Bankruptcy,cheshirenyaong / cheeka,Fantasy,105627,ongoing,2022-12-27
Brimstone and Roses,Speremint,Romance,4300000,hiatus,2022-12-27
Scroll if You Dare,Various Artists,Horror,565017,ongoing,2022-12-27
