title,author,genre,total_likes,status
my giant nerd boyfriend,fishball,slice of life,61900000,ongoing
i love yoo,quimchee,drama,34200000,ongoing
1hp club,elfboi,fantasy,3800000,ongoing
nevermore,kate flynn / kit trace,supernatural,1400000,ongoing
love advice from the great duke of hell,unfins,comedy,12300000,ongoing
bitten contract,sungeun,romance,1700000,ongoing
the gamer,sangyoung seong / sang-a,action,20000000,ongoing
brimstone and roses,speremint,romance,4200000,ongoing
scroll if you dare,various artists,horror,514614,ongoing
so i married the anti-fan,jaerim / eunjeong kim,romance,2900000,ongoing
the second lead syndrome,batusawa,drama,171074,ongoing
rooftops & roommates,zaanart,comedy,4400000,ongoing
murim rpg simulation,hyung geun cho / kwang hwi,action,624816,ongoing
immortal weakling,yaruno / civen,superhero,334044,ongoing
romance 101,namsoo,romance,7600000,ongoing
lost in translation,jjolee,drama,6800000,ongoing
ordeal,brent bristol,action,724951,ongoing
forever after,hannah patten / violet matter,fantasy,2400000,ongoing
raven saga,chihiro howe,fantasy,1800000,ongoing
rewriting the villainess,honghye,fantasy,1000000,ongoing
gul,atenmaru / nicoliedc,action,1100000,ongoing
hooves of death,sam bragg,fantasy,2800000,ongoing
secret playlist,2f,romance,4300000,ongoing
our resident exorcist,bastards / acorn nut & gb,action,48821,ongoing
andy bass,kenneduck / gia,comedy,1800000,ongoing
killmax,kennycomics / silentmaru,supernatural,1400000,ongoing
no scope,zoyang,sports,5500000,ongoing
vixen: nyc,jasmine walls / manou azumi,superhero,243212,ongoing
children of mirra,mts,fantasy,76866,ongoing
chasing tails,bashi,mystery,927111,ongoing
the earth's chosen savior,shinel / ha jung soo,action,507339,ongoing
straylight tiger,flying-frappe,sci-fi,421940,ongoing
the first hunter,dedart / chanwook jeon,action,703801,ongoing
it's on,sokomin,slice of life,347377,ongoing
four leaf,lumaga,fantasy,2000000,ongoing
lullaby,mj / baeklee,fantasy,242317,ongoing
everfallen,alai cinereo,fantasy,78865,ongoing
tacit,kimdazzi,action,745248,ongoing
ghost on the roof,klaus scrimshaw,drama,213457,ongoing
warrior executioner,serae kim,fantasy,122009,ongoing
time and reason,colabear,romance,148891,ongoing
survival log,e_no,action,114602,ongoing
trailer park warlock,matthew j. rainwater,comedy,742375,ongoing
heavenly eats,myoung rang / allbba,comedy,114366,ongoing
coffin jackson,ctk,drama,73810,ongoing
hwarang: flower knights of the underworld,hwieum / striy,action,105297,ongoing
love and leashes,winter,romance,1800000,ongoing
blade of the phantom master,inwan youn / kyungil yang,action,88853,ongoing
this life to the next,jojoohee / yuno,drama,261678,ongoing
return of the blossoming blade,lico / biga,action,2300000,hiatus
monochrome,komatsuki,action,291098,hiatus
protect the knight,dalbong,fantasy,475565,hiatus
defects,mushmello,fantasy,464397,hiatus
#blessed,m. victoria robado,drama,1900000,hiatus
nomads,captain juuter,fantasy,565127,hiatus
"good luck, hero! ",song hyunju,fantasy,284363,hiatus
mythical errand,ggoli,fantasy,535780,ongoing
taming the marquess,ire / krffr,romance,522782,hiatus
third shift society,meredith moriarty,supernatural,1500000,hiatus
agatha,dain lee,drama,453103,ongoing
beyond virtual,ega,drama,481423,hiatus
athena complex,kaisar,fantasy,3000000,hiatus
little rain,mai,romance,673771,hiatus
version day and night,dewkneelight,drama,1200000,hiatus
daybreak,moosopp,slice of life,1100000,ongoing
the kiss bet,ingrid ochoa,romance,11400000,ongoing
wished you were dead,seocheong / aran,drama,2800000,ongoing
like wind on a dry branch,dalsaeowl / hwaeum,fantasy,8500000,ongoing
sixth sense kiss,got w / jocobong,romance,4800000,ongoing
+99 reinforced wooden stick,hongsil / jipery,comedy,652595,ongoing
for my derelict favorite,kim seonyu / ryuho,romance,655991,ongoing
return to player,umky / sehon,action,3100000,ongoing
his majesty's proposal,bloomy / inus,fantasy,3800000,ongoing
she's hopeless,seokwoo,drama,4400000,ongoing
skullgirls,mike exner iii / wiirdo / pasteldot,action,36544,ongoing
i get stronger the more i eat,kitaeon / frost mourne,action,1600000,ongoing
blacksun,play,action,56013,ongoing
trash belongs in the trash can!,eddiering,romance,1100000,ongoing
the academy's undercover professor,sayren / tana,fantasy,239296,ongoing
adventures of god,teo / corey,comedy,28700000,ongoing
bluechair,shen,slice of life,43100000,ongoing
the strongest florist,hyun hoo joo / kumtata,action,4000000,ongoing
survival diary,ssurplus man,thriller,59633,ongoing
another love ,i soon ki / ddogak,romance,921004,ongoing
long after the ending,dorae / wonderdream,romance,701813,ongoing
the blood of the butterfly,remin,fantasy,1600000,ongoing
ingrid the plague doctor,harry amoros,slice of life,351842,ongoing
the croaking,echorise,fantasy,6700000,hiatus
manager kim,jeongjongtaek / toy,action,689107,ongoing
phone addict,hd / 8,romance,439298,ongoing
the ember knight,hwandaeng,fantasy,1200000,ongoing
a whirlwind campus affair,uiyoung,drama,703436,ongoing
charming you,gulrim / park soo jung,romance,360088,ongoing
knight under my heart,routine.  j / han sungwoo,action,211711,ongoing
7fates: chakho,hybe,fantasy,2100000,ongoing
devilish romance,lee kong-joo / white eagle,supernatural,2400000,ongoing
double click,kim janghun / park subong,sports,684441,ongoing
how to become a dragon,eon,fantasy,4000000,ongoing
señorita cometa,arechan,mystery,464900,ongoing
urban animal,justin jordan / john amor,superhero,2800000,hiatus
woven,lark & wren,fantasy,368287,ongoing
our secret alliance,cakenyam,romance,369709,ongoing
lone,mel0h,fantasy,2100000,ongoing
deor,j.oori,fantasy,3100000,ongoing
the spark in your eyes,muro,fantasy,902587,ongoing
just pancakes,hadetoons,comedy,2600000,ongoing
random chat,park eun hyuk,drama,2900000,ongoing
the monster's bride,steak / sang beom,fantasy,643808,ongoing
the snake and the flower,na-eum so,historical,1000000,ongoing
unstable,pink_alien,supernatural,41853,ongoing
locker & opener,manchi / barunflower,mystery,593141,ongoing
dr. frost,jongbeom lee,mystery,3100000,ongoing
to be ordinary!,kkanaria,drama,197161,ongoing
red compass,frank calicó,action,20278,ongoing
tomorrow,llama,drama,245220,ongoing
principal's livestream,jwawind,comedy,73953,ongoing
nexus point,trevor mueller / sebastian von buchwald,sci-fi,41553,ongoing
meow rangers,ahnjoo,comedy,181680,ongoing
eyes,jeong summer,fantasy,144403,ongoing
monster duke's daughter,han ocean / chal lan,fantasy,829566,ongoing
i’m the max-level newbie,swing bat / wan.z(redice studio),action,1400000,ongoing
eros conquers all,ameliori,supernatural,263846,hiatus
winter moon,merryweather / mayui,fantasy,35200000,hiatus
branching out,profzach,fantasy,82198,hiatus
death: rescheduled,snailords,thriller,2600000,hiatus
doom breaker,blue-deep,action,3100000,hiatus
men of the harem,herelee / alphatart,fantasy,8100000,hiatus
your throne,sam,fantasy,12900000,hiatus
clinic of horrors,merryweather / pokurimio,supernatural,6400000,hiatus
uriah,toffuo,horror,2800000,hiatus
midnight poppy land,lilydusk,romance,14600000,hiatus
bad signs,jimena aranda,comedy,2100000,hiatus
shiloh,kit trace / kate flynn,thriller,2100000,hiatus
lmly,edbe,romance,889079,hiatus
death of a pop star,violet karim,romance,2500000,hiatus
#killstagram,ryoung,thriller,3600000,hiatus
lore olympus,rachel smythe,romance,58700000,ongoing
castle swimmer,wendy lian martin,fantasy,21000000,ongoing
high class homos,momozerii,comedy,7200000,ongoing
my gently raised beast,yeoseulki / early flower,romance,9100000,ongoing
dark moon: the blood altar,hybe,fantasy,2200000,ongoing
lumine,emma krogell,fantasy,21200000,ongoing
get schooled,yongtaek chae / garam han,drama,5700000,ongoing
jackson's diary,paola batalla,supernatural,6300000,ongoing
my in-laws are obsessed with me ,seungu / han yoon seol,fantasy,2300000,ongoing
i'm the grim reaper,graveweaver,supernatural,11400000,hiatus
the lone necromancer,jjj / kim kyoung-yeol,fantasy,1800000,ongoing
perfect marriage revenge,yibambe / so young,romance,3400000,ongoing
from a knight to a lady,ink. / hyerim sung,fantasy,3000000,ongoing
the druid of seoul station,livebear / mun sung ho,action,2000000,ongoing
designated bully,grimzo,action,129206,ongoing
lookism,taejun pak,drama,42800000,ongoing
the greatest estate developer,lee hyunmin / kim hyunsoo,fantasy,1600000,ongoing
there must be happy endings,jaerim / bulsa,romance,3300000,ongoing
the newlywed diary of a witch and a dragon,new lung / dimang,romance,5100000,ongoing
after school lessons for unripe apples,soonkki,drama,2300000,ongoing
hyperfocus,kip trevor,slice of life,2200000,hiatus
can i take it back?,shinmae,romance,657350,ongoing
limit breaker,oh / hongsil,action,540244,ongoing
blood-ink,lupicut,action,4700000,ongoing
half-ghost,sejung,romance,2200000,ongoing
the warrior returns,narack / fungback,action,925631,ongoing
study group,hyungwuk shin / seungyeon ryu,action,1400000,ongoing
lovebot,chase keels / miranda mundt,sci-fi,2400000,ongoing
covenant,explodikid,action,2300000,hiatus
hanlim gym,hyeseong / sukjae lee,sports,855843,ongoing
live with yourself!,shen / david j catman,comedy,12200000,ongoing
the secrets of the willson family,mill2,mystery,68642,ongoing
the matchmaking baby princess,jimmy sin / karin park,fantasy,1300000,ongoing
smity and majesty,nekucciola,comedy,1100000,ongoing
carl,hussein traboulsi,slice of life,5000000,ongoing
metro hunter,yopy / mr.cheok,action,449414,ongoing
rewriting our love story,choi gyeong min / young mo,romance,226439,ongoing
my irresistible ex,ki moong / yeoback,romance,634990,ongoing
seed,said p.,sci-fi,3200000,ongoing
disconnected from reality,hhaann / limye,thriller,241129,ongoing
religiously gay,snotprince,romance,213836,ongoing
vibe check!,ucheomaaa,comedy,484276,ongoing
it rains on precious days,ryo. / yabomi,romance,168621,ongoing
100,hyeong eun / yunyeol choi,action,219620,ongoing
shingi: the spirit's playbook,bbing / min a,action,81975,ongoing
savior,junqi / jo9,fantasy,413659,ongoing
loser coin,lee je hwan / beomsik,drama,146299,ongoing
the world is money and power,dongwoo han / dohee lee,action,903422,ongoing
time roulette,sn / bae302,fantasy,107016,ongoing
vampire magicka,bryan golden,fantasy,105482,ongoing
night of silence,dongwoo han / q-ha,thriller,90011,ongoing
the retreats,hyungwuk shin / sunhee kim,action,67822,ongoing
tales of sarimin the jinn,nagaterbang,action,176811,ongoing
traveler,t campbell / john & jason waltrip,superhero,26552,ongoing
the legendary fossil,chung jong / besi,drama,342263,ongoing
trapped,haemuri,thriller,498756,ongoing
master of villains,ddeokkue / izi,action,241472,ongoing
not even bones,r schaeffer / glamist,thriller,10400000,hiatus
the wildlands,littlebobler,fantasy,110797,hiatus
evelyne and the occult,inksowl comics,supernatural,1400000,hiatus
stray souls,maf,fantasy,2400000,hiatus
if,keon tan,action,467717,hiatus
the remarried empress,alphatart / sumpul,fantasy,25200000,hiatus
r-x: rayer hunter,gyoc / hanga,sci-fi,97023,hiatus
blades of furry,deya muniz / emily erdos,romance,3100000,hiatus
everywhere & nowhere,merryweather / peach,comedy,11300000,hiatus
the shadow prophet,anne delseit / marissa delbressine,drama,306500,hiatus
reunion,stephattyy,romance,2000000,completed
the male lead's girl friend,kakon / ryu heon,romance,1500000,completed
freaking romance,snailords,romance,20900000,completed
witch hunt,sso park,supernatural,1100000,completed
the horizon,jh,drama,353294,completed
the four of them,mai hirschfeld_,drama,8700000,completed
my deepest secret,hanza art,thriller,15500000,completed
unwritten death,maracuyasart,romance,783527,completed
dear x,vanziun,thriller,809262,completed
horang's nightmare,horang,horror,503664,completed
unknown caller,various artists,thriller,202653,completed
hell is other people,yong-ki kim,thriller,664591,completed
boo! it's sex,danielle corsetto / monica gallagher,slice of life,4800000,completed
the boxer,jh,sports,11100000,completed
the red book,rd,horror,490500,completed
"god, please make me a demon! ",bulsa / yomgary,comedy,1600000,completed
unholy blood,lina im / jeonghyeon kim,supernatural,13200000,completed
edith,swansgarden,romance,10900000,completed
webtoon x bts,webtoon,fantasy,1300000,completed
antistalker,vokivormok,romance,4800000,completed
'til debt do us part,janggreen / flowbee,romance,1800000,completed
a heart for the emperor,6s / coconutberry,romance,388110,completed
to love your enemy,jungyoon / taegeon,romance,12800000,completed
bastard,carnby kim / youngchan hwang,thriller,7600000,completed
"sarah, i'm sorry: welcome to our galaxy",miti / gugu,informative,155356,completed
sweet home,carnby kim / youngchan hwang,thriller,17900000,completed
the first night with the duke,msg / teava,fantasy,11700000,completed
publishing love,rosa / song yi,romance,256195,completed
muted,miranda mundt,supernatural,7600000,completed
siren's lament,instantmiso,romance,23300000,completed
my dear cold-blooded king,lifelight,romance,15800000,completed
devil number 4,jangjin / woombeee,supernatural,13300000,completed
days of hana,seokwoo,drama,7500000,completed
my id is gangnam beauty!,maenggi ki,drama,1300000,completed
swimming lessons for a mermaid,yongchan,romance,6500000,completed
our beloved summer,han kyoung chal / lee naeun,romance,661110,completed
"mom, i'm sorry",miti / gugu,drama,5500000,completed
always human,walkingnorth,romance,2600000,completed
the predator,chi chi / shin heebin,thriller,525058,completed
gourmet hound,leehama,drama,12000000,completed
shriek,various artists,thriller,428864,completed
your letter,hyeon a cho,drama,1100000,completed
distant sky,inwan youn / sunhee kim,horror,1600000,completed
shotgun boy,carnby kim / hongpil,thriller,4200000,completed
the vault of horror: a collection of nightmares,various artists,horror,329559,completed
axed,shren patel / emi mg,comedy,3900000,completed
how to survive a romance fantasy,sing-nanda,fantasy,1400000,completed
where tangents meet,instantmiso,romance,2900000,completed
spells from hell,wmw / silke tara,fantasy,2700000,completed
a good day to be a dog,lee hey,romance,10500000,completed
my life as a loser,taejun pak / sw jeon,drama,692862,completed
rumor has it,sunga,romance,846854,completed
have you any fear?,various artists,horror,187445,completed
age matters,enjelicious,romance,28600000,completed
pigpen,carnby kim / beom sick cheon,thriller,1800000,completed
save me,big hit ent. / lico,drama,4200000,completed
chiller,various artists,thriller,895065,completed
