title,author,genre,day,total_likes,status,scrape_date
A Chance At Last,Dindon / Seo hye eun,Romance,Wednesday,917981,ongoing,2023-01-09
Safely Endangered,Chris McCoy,Comedy,Wednesday,23500000,ongoing,2023-01-09
Going Up,Melissaboo,Romance,Wednesday,196097,ongoing,2023-01-09
Reincarnated as an Unruly Heir,Jeon madu / zaemu,Action,Wednesday,863285,ongoing,2023-01-09
X & Ash,Sehoon Kim / Kwangsu Lee,Action,Wednesday,378799,ongoing,2023-01-09
"Date First, Love Later",the gom (HAPPYBOOKSTOYOU) / jungmi,Romance,Wednesday,1500000,hiatus,2023-01-09
QUESTISM,TAEWAN / YuNuni,Fantasy,Wednesday,629732,ongoing,2023-01-09
The Fox Club,HJ. Hwang,Romance,Wednesday,640888,ongoing,2023-01-09
A Summer Night's Dream,Kim su bak / Kan,Romance,Wednesday,1400000,ongoing,2023-01-09
The Final Raid Boss,KIM JANGHUN / HA SEONGSHIN,Fantasy,Wednesday,490594,ongoing,2023-01-09
A Dance of Swords in the Night,JP / MinskySong,Action,Wednesday,167127,ongoing,2023-01-09
The Last Dimension,Leaglem,Sci-fi,Wednesday,498152,ongoing,2023-01-09
The Dummy's Dummy,Mochamura,Horror,Wednesday,680339,ongoing,2023-01-09
The Prenup,Flada / Siwon,Romance,Wednesday,607247,ongoing,2023-01-09
No Marriage is Perfect,Lee Dahong / Long.B,Romance,Wednesday,1400000,ongoing,2023-01-09
Warrior of the Wild,Jinglestan / Brian Koffler,Action,Wednesday,595807,ongoing,2023-01-09
Blue Matter,forgotuser,Fantasy,Wednesday,660781,ongoing,2023-01-09
Revenge Love,Tino,Romance,Wednesday,11996,ongoing,2023-01-09
Neon Revenge,Gisong / NemGa,Action,Wednesday,2000000,hiatus,2023-01-09
Housekeeper,Yongtaek Chae / Yuhyun,Sci-fi,Wednesday,371762,ongoing,2023-01-09
Jupiter-Men,Actionkiddy,Action,Wednesday,156820,ongoing,2023-01-09
Darbi,Sherard Jackson,Action,Wednesday,2600000,hiatus,2023-01-09
SOULWINDER,android_k05 / WmW,Thriller,Wednesday,251788,ongoing,2023-01-09
A DeadbEAT's Meal,CHEESE,Slice of life,Wednesday,361947,ongoing,2023-01-09
Keys,RyaiArt,Action,Wednesday,101157,hiatus,2023-01-09
SOLEIL,YenKin,Fantasy,Wednesday,1200000,ongoing,2023-01-09
Escape from Oz,Kelly Angel,Comedy,Wednesday,38740,ongoing,2023-01-09
Nina's Magic Chest,RD,Fantasy,Wednesday,236249,ongoing,2023-01-09
Fingers,jeongsik Park / Ssuljak,Thriller,Wednesday,62622,ongoing,2023-01-09
Spirit Hunter,Yoon Hyun-seung / Bang Seung-hyun,Supernatural,Wednesday,456494,ongoing,2023-01-09
Descended from Divinity,San Cheon / ZAINO,Fantasy,Wednesday,336417,ongoing,2023-01-09
Heavenly Roommates,MARO / kang jaegeon,Fantasy,Wednesday,688050,ongoing,2023-01-09
Nano Machine,Great H / GGBG,Action,Wednesday,441697,ongoing,2023-01-09
Land of the Crimson Moon,Park Shin / Shin Dong ku,Action,Wednesday,80153,ongoing,2023-01-09
