title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,450,40330,2021-10-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,449,40045,2021-10-25,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,448,39913,2021-10-18,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,447,41067,2021-10-15,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,446,41127,2021-10-11,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,382,56236,2020-10-23,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,381,58399,2020-10-19,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,380,55409,2020-10-16,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,379,56584,2020-10-12,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,378,55041,2020-10-09,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,377,54951,2020-10-05,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,376,55089,2020-10-02,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,375,55155,2020-09-28,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,374,55466,2020-09-25,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,490,28813,2022-04-08,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,489,28783,2022-04-04,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,488,29113,2022-03-25,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,487,29845,2022-03-21,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,486,29345,2022-03-18,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,485,29703,2022-03-14,2023-01-13
