title,author,genre,status,release_day,views,subscribers,rating,chapter,chapter_length,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,BTS Kawaii Jin,UGH I HATE SEEING PEOPLE I KNOW AT THE STORE ,2019-06-11,1307,3,17,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,monsta-chai,This gave me anxiety😅 I wonder if he’ll realize jugyeong is the girl he picked on with his friends ,2019-06-11,1124,12,12,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,Danithgirl,Pretty sure the reason why Seojun didn’t want to leave his room was because he was wearing sweatpants and he got a little too excited ( ͡° ͜ʖ ͡°),2019-06-12,928,3,9,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,Yrica❤️💛💚💙💜,So no ones gonna talk about seojun 😂 we all know what happened 👀🦴,2019-06-11,786,3,8,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,María Sofía🥀,Conspiry theory: he already knows her ‘real face” and hes just playing us like FOOLS. You heard it here first folks ,2019-06-18,294380,660,212,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,namunchild,can seojun stop being amazing for a little bit i must stay loyal to suho,2019-06-18,229902,1065,281,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Allezza200,OMG I JUST REALIZED SEOJIN IS WEARING A TURTLE NECK SWEATER BECAUSE JUGYEOUNG TOLD HIM HE LOOKS LIKE A PERVERT WITH A LOOSE SHIRT!!!! OMG!!! Edit: It's episode 48 when she says it. Thanks for all the likes!!,2019-06-18,187822,486,207,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,This user has been deleted.,This comment has been deleted.,,0,0,35,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,This user has been deleted.,This comment has been deleted.,,0,0,60,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Anna.beru,The fact that Suho fully bends down to look her in the eyes to say she’s pretty without makeup. Like can i get a suho? 😤😫😪,2019-06-18,4627,15,25,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,This user has been deleted.,This comment has been deleted.,,0,0,17,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Starfalling4,"Seojin has a sister, he knows exactly what girls look like without makeup! 😂",2019-06-18,3918,10,9,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Hwango,Jugyeong’s sister is the real MVP ,2019-06-18,3131,7,20,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Sage_delt,"WHY THEY GOTTA DO ME LIKE THAT, NOW BOTH OF THEM ARE GONNA BE HOT AFER HER?! BRUH THIS TOO MUCH MAN.",2019-06-18,2063,3,8,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,xbarrios,"of course they both like her for her inner beauty, makes us harder to choose 😭",2019-06-18,2000,3,5,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Slaying Fate,My Boi ain't shallow. Suck it.,2019-06-18,1679,10,13,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Yules ♡♡,when suho kneels to get to her level instead of making her look up. gosh I love him. ,2019-06-18,1499,6,8,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Lilly Mondragon,"Suho is showing and saying that he likes her. I wish she realized that he likes her for who she is. I understand it is hard for her, to have confidence.   Suho likes her for who she is, she does not have to pretend. In the end I hope she makes the best decisions for her.",2019-06-18,1301,11,7,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,50,121145,15705,2211694,303239,51786488,2019-07-09,Elizabeth Axler,"Something else to consider: if she ends up with suho, I can imagine Seojin ending up with another girl and getting over it. But, if she ends up with Seojin, I can’t imagine suho ever getting over that. That tells you something. If means that Suho cares the most about her. #suhoforlife",2019-06-18,1157,89,19,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,Lakeside,Who said she ain’t pretty with no makeup 💄 on. GURL U FINEE,2019-06-25,235651,486,121,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,lucy_in_luv,The way he doesn't care about her looks! I need a man like that! 😭💖 ,2019-06-25,134438,241,126,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,Kris10.outta10,"EVERYTHING IS TOO PRECIOUS. THE BANGS, THE BLUSHES, THE WAY HE TAPPS HER PENCIL, HIS LITTLE GIGGLE, SHE WROTE ENCURAGING STUFF ON ALL HIS VITIMINS, COOKIES FROM HELL, HE RAN TO HER. I WILL COMBUST ",2019-06-25,105757,167,70,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,This user has been deleted.,This comment has been deleted.,,0,0,106,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,This user has been deleted.,This comment has been deleted.,,0,0,353,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,J Is Mega Gay,"if suho dies, we riot ",2019-06-25,3474,8,35,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,S'mores Gurl,Suhoo I spent so much money on you telllllll her,2019-06-25,2479,6,14,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,moni_wing,"Those little notes, though. So adorable! He couldn’t take it!",2019-06-25,2347,3,4,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,51,161011,16362,2211694,313988,51786488,2019-07-16,Ashlee Freese,I just tried to explain this story drama to my husband and he looked at me like I was crazy. At least you guys understand!!,2019-06-25,1908,4,21,2023-01-06
