title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter_number,likes,chater_release_date,scrape_date
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,464,55772,2020-05-14,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,463,50579,2020-05-07,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,462,50160,2020-04-30,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,461,48928,2020-04-23,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,460,51304,2020-04-16,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,459,51526,2020-04-09,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,458,48839,2020-04-02,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,457,49569,2020-03-26,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,456,51097,2020-03-19,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,455,48912,2020-03-12,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,454,49517,2020-03-05,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,453,50587,2020-02-27,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,452,50611,2020-02-20,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,451,48860,2020-02-13,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,450,48350,2020-02-06,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,449,50479,2020-01-30,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,448,50390,2020-01-23,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,447,49750,2020-01-16,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,446,50077,2020-01-09,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,445,49225,2020-01-02,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,444,52617,2019-12-26,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,443,53009,2019-12-19,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,442,52758,2019-12-12,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,441,48190,2019-12-05,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,440,49512,2019-11-28,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,439,50103,2019-11-21,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,438,51913,2019-11-14,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,437,53284,2019-10-31,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,436,52076,2019-10-24,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,435,52406,2019-10-17,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,434,52820,2019-10-10,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,433,50400,2019-10-03,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,432,51166,2019-09-26,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,431,51276,2019-09-19,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,430,52100,2019-09-12,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,429,51903,2019-09-05,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,428,52258,2019-08-29,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,427,53565,2019-08-22,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,426,53339,2019-08-15,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,425,55006,2019-08-08,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,424,56202,2019-08-01,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,423,56456,2019-07-25,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,422,55268,2019-07-18,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,421,57839,2019-07-11,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,420,57935,2019-07-04,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,419,57938,2019-06-27,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,418,58884,2019-06-20,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,417,62173,2019-06-13,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,416,57874,2019-06-06,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,415,56085,2019-05-30,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,414,57960,2019-05-23,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,413,55376,2019-05-16,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,412,57791,2019-05-09,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,411,60245,2019-05-02,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,410,59274,2019-04-25,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,409,58224,2019-04-18,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,408,55806,2019-04-11,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,407,56216,2019-04-04,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,406,65053,2019-03-28,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,405,54782,2019-03-21,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,404,55658,2019-03-14,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,403,57658,2019-03-07,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,402,57207,2019-02-28,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,401,54683,2019-02-21,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,400,57468,2019-02-14,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,399,55569,2019-02-07,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,398,59185,2019-01-31,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,397,61488,2019-01-24,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,396,56515,2019-01-17,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,395,59235,2019-01-10,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,394,79235,2019-01-03,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,393,58457,2018-12-28,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,392,58468,2018-12-21,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,391,59967,2018-12-14,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,390,74724,2018-12-07,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,389,56819,2018-11-30,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,388,58985,2018-11-23,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,387,56061,2018-11-16,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,386,58265,2018-11-09,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,385,62663,2018-11-02,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,384,55766,2018-10-26,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,383,55435,2018-10-19,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,382,56502,2018-10-05,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,381,54387,2018-09-28,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,380,54518,2018-09-21,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,379,55078,2018-09-14,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,378,56460,2018-09-07,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,377,62708,2018-08-31,2022-12-27
The God of High School,Yongje Park,action,30359374,completed,completed,770299968,2800000,9.7,572,376,60024,2018-08-24,2022-12-27
